Date,Return
Dec-90,0.0277
Jan-91,0.0301
Feb-91,0.014
Mar-91,0.0052
Apr-91,0.0132
May-91,0.0182
Jun-91,0.003
Jul-91,0.0198
Aug-91,0.01
Sep-91,0.0073
Oct-91,0.0275
Nov-91,0.0001
Dec-91,0.0156
Jan-92,0.0042
Feb-92,0.0272
Mar-92,0.0094
Apr-92,0.0279
May-92,-0.0027
Jun-92,0.0122
Jul-92,-0.0009
Aug-92,0.0086
Sep-92,0.0033
Oct-92,0.0133
Nov-92,0.0136
Dec-92,0.0136
Jan-93,-0.0009
Feb-93,0.0186
Mar-93,0.0179
Apr-93,-0.0001
May-93,0.0165
Jun-93,0.0079
Jul-93,0.0002
Aug-93,0.0171
Sep-93,0.0028
Oct-93,0.0171
Nov-93,0.0019
Dec-93,0.0039
Jan-94,0.0211
Feb-94,-0.0044
Mar-94,0.0145
Apr-94,0.0175
May-94,0.0044
Jun-94,0.0023
Jul-94,0.0171
Aug-94,0.0035
Sep-94,0.0075
Oct-94,0.0181
Nov-94,-0.0064
Dec-94,0.006
Jan-95,0.0085
Feb-95,0.0069
Mar-95,0.0078
Apr-95,0.0162
May-95,0.0165
Jun-95,0.0043
Jul-95,0.0102
Aug-95,-0.0024
Sep-95,0.0163
Oct-95,0.0153
Nov-95,0.0044
Dec-95,0.0103
Jan-96,0.0142
Feb-96,0.0066
Mar-96,0.0116
Apr-96,0.0057
May-96,0.0134
Jun-96,0.0015
Jul-96,0.0186
Aug-96,0.002
Sep-96,0.0116
Oct-96,0.0103
Nov-96,0.0151
Dec-96,0.0041
Jan-97,0.0238
Feb-97,0.0067
Mar-97,0.008
Apr-97,0.011
May-97,0.0057
Jun-97,0.0128
Jul-97,0.0068
Aug-97,0.0028
Sep-97,0.0232
Oct-97,0.0049
Nov-97,0.0149
Dec-97,0.0036
Jan-98,0.0085
Feb-98,0.0123
Mar-98,0.0168
Apr-98,0.0036
May-98,0.0169
Jun-98,0.0122
Jul-98,0.0076
Aug-98,0.0021
Sep-98,0.0098
Oct-98,0.0186
Nov-98,0.0078
Dec-98,0.0026
Jan-99,0.0199
Feb-99,0.0011
Mar-99,0.0222
Apr-99,0.0029
May-99,0.0145
Jun-99,0.017
Jul-99,0.0036
Aug-99,0.0087
Sep-99,0.0066
Oct-99,0.0105
Nov-99,0.0154
Dec-99,0.0032
Jan-00,0.0214
Feb-00,0.0013
Mar-00,0.0177
Apr-00,0.0027
May-00,0.013
Jun-00,0.0073
Jul-00,0.0058
Aug-00,0.0126
Sep-00,0.0018
Oct-00,0.0086
Nov-00,0.0062
Dec-00,0.0036
Jan-01,0.0214
Feb-01,0.0008
Mar-01,0.0107
Apr-01,0.0126
May-01,0.0026
Jun-01,0.0017
Jul-01,0.0038
Aug-01,0.0094
Sep-01,0.0066
Oct-01,0.0122
Nov-01,0.0114
Dec-01,0.0012
Jan-02,-0.0004
Feb-02,0.0053
Mar-02,0.0039
Apr-02,0.0109
May-02,0.0205
Jun-02,0.0019
Jul-02,0.0329
Aug-02,-0.0014
Sep-02,0.0006
Oct-02,0.0066
Nov-02,0.001
Dec-02,0
Jan-03,-0.0035
Feb-03,-0.0005
Mar-03,0.0185
Apr-03,0.0003
May-03,0.009
Jun-03,0.0093
Jul-03,0.0137
Aug-03,0.0016
Sep-03,0.0086
Oct-03,0.0126
Nov-03,-0.0014
Dec-03,0.0025
Jan-04,0.0088
Feb-04,0.0044
Mar-04,-0.0001
Apr-04,0.0037
May-04,0.0059
Jun-04,0.0121
Jul-04,0.0002
Aug-04,0.0126
Sep-04,0.0046
Oct-04,0.0003
Nov-04,0.0079
Dec-04,0.0024
Jan-05,0.0051
Feb-05,0.0037
Mar-05,0.0085
Apr-05,0.0014
May-05,0.0063
Jun-05,0.0046
Jul-05,0.0013
Aug-05,0.0016
Sep-05,0.0089
Oct-05,0.0161
Nov-05,0.0075
Dec-05,0.0054
Jan-06,0.007
Feb-06,0.002
Mar-06,0.0131
Apr-06,0.0094
May-06,0.007
Jun-06,0.0051
Jul-06,0.0106
Aug-06,0.0077
Sep-06,0.0068
Oct-06,0.0042
Nov-06,0.0086
Dec-06,0.0086
Jan-07,0.0029
Feb-07,-0.0011
Mar-07,0.0164
Apr-07,0.0098
May-07,0.0081
Jun-07,0.0034
Jul-07,0.0017
Aug-07,0.0031
Sep-07,0.0097
Oct-07,0.0046
Nov-07,0.0104
Dec-07,0.0023
Jan-08,0.0063
Feb-08,0.0006
Mar-08,0.0018
Apr-08,0.0093
May-08,0.0081
Jun-08,-0.0006
Jul-08,0.0072
Aug-08,0.0071
Sep-08,0.005
Oct-08,-0.0006
